idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-0.0018651538177671973,-0.005085210843137504,0.00517345966624571,0.004352988750517385,2.1417123890165625e-05,0.0001325483548570705,-0.052565319237581495,-0.1298412450857349,-0.06470316892007436,-0.06164682045805052,0.00794583618603141,0.003790369621514092
1,-0.003827041763622885,-0.01509436465777544,-0.0010145576349701556,0.008771989790919726,0.0011971811562481527,-0.00720273774921764,-0.05235462290279948,-0.12452010467480218,-0.059072616209883515,-0.062081128958904344,0.007657032676975435,0.0016973569104781969
2,-0.0020111660797054306,-0.01388553232372065,-0.00798089971744343,0.00832710224957384,0.0035401284168138005,-0.009209908742248508,-0.049064955314284675,-0.1194726148687289,-0.057802767667731965,-0.06328931928859818,0.0074853259963555616,-0.00033687756396020424
3,-0.007854538140322942,-0.014966062307563428,-0.009205204545642234,0.011549283966408773,0.0024978270066709223,-0.013356741584606476,-0.046626865757897595,-0.11730928501890876,-0.063385822630153,-0.06366851470380835,0.010191194956523097,0.00039011298208465467
4,-0.010359050045552095,-0.028796440859586617,-0.007602249475007643,0.022360318076846665,0.0006076851829681417,-0.013918067982407138,-0.042945024667586804,-0.11807035768290261,-0.06758076278046882,-0.06473396524408048,0.012615727255135184,0.005139428779230203
5,-0.004747722759497922,-0.025055547618814934,-0.0051144834335348464,0.015698938050858514,0.0002589581057437884,-0.008780881786951984,-0.03746339231228518,-0.11853804039978927,-0.07005343308558556,-0.06689055466564807,0.01270806954344491,0.010639860839866747
6,0.005266963954999899,-0.005559148649435856,0.0031700160791673683,-0.0017426906961505936,-0.0008413484383746773,-0.002030501967036632,-0.03086654843975372,-0.11698885482372974,-0.07203382960247785,-0.06850422445654068,0.010750950517890177,0.015474554846445887
7,0.0076915053711079685,0.01172038854157446,0.011746582531695422,-0.00869890494634325,-0.0026646834611161493,0.006852929715389011,-0.02718586119232058,-0.11526843664978484,-0.07342750320247948,-0.06799282103611298,0.008631398389382962,0.015627554865468893
8,0.013093944246168932,0.023119083357794272,0.012730839181968568,-0.01516272434342656,-0.00572368029526657,0.016274841920524863,-0.02727703730943516,-0.11325604753222031,-0.06795312377666965,-0.06520091600127208,0.0066361736210738265,0.013317370660930347
9,0.014741693786225333,0.015489760783121122,0.012196667625999425,-0.015848292415110998,-0.009887353949060124,0.01583396824006297,-0.025782593895304254,-0.1085676419315729,-0.06140265252860224,-0.06305674810420535,0.004701425817747476,0.010964344637039408
10,0.003466705473981233,0.00378818333559313,0.012004534930600773,-0.00787048965329659,-0.007572678581228299,0.010316834709574384,-0.026677589589424018,-0.10323690351752929,-0.06083890587371217,-0.06219123029105797,0.002360509979208718,0.008791687464276797
