idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,0.014941980395863738,-0.01862635052304855,-0.030490058922444226,0.0007322469926814602,0.02196704950235744,-0.02684292010163375,-0.052126641629580715,-0.05330852609729584,-0.02876864324230902,-0.005176784593225972,0.011291470648451228,0.017318871599283598
1,0.0022758193311865835,-0.031006203959009423,-0.027888710254012447,0.014176207758297008,0.014198539553109752,-0.03468297346984824,-0.048714784055753475,-0.060278282427648246,-0.036205654319584724,-0.018616378850101818,-0.00383303820036926,0.0025578649882378665
2,-0.005072575848869991,-0.04410411296307209,-0.04254853713233863,0.023789087703819222,0.018709122642289827,-0.044716957030419946,-0.04512763067563264,-0.06708956191815899,-0.03930296148813718,-0.025961869537503728,-0.01668935958271052,-0.007337229526492586
3,-0.011497915195321496,-0.05843899245812988,-0.04665412910018886,0.03454549504689544,0.01676533611303215,-0.05355575506549897,-0.04191107161174151,-0.06793428536361734,-0.04780949672289628,-0.030527825341259134,-0.022210473816182963,-0.013881329019581667
4,-0.01593081146490732,-0.06950334370355024,-0.05146999891375995,0.04054772126510481,0.018435665080004344,-0.0591302570371412,-0.040618889142382944,-0.06953695055716944,-0.051290675192372376,-0.033114934802434014,-0.02796219742341484,-0.021206489286682263
5,-0.020411551636827136,-0.0722398741763349,-0.05968400599985007,0.042939547739109574,0.019250833056210347,-0.0637909041640653,-0.03367657074679041,-0.07534824374438803,-0.05099097088015049,-0.03552547541485148,-0.03469451917076691,-0.027658702007179202
6,-0.021313426182415187,-0.07545400517591419,-0.06134599823717457,0.045456574716911155,0.022263472432008477,-0.07007430833659112,-0.032590497871676755,-0.08114883111982679,-0.059327966328922024,-0.04313371592744671,-0.041730762317274864,-0.03385576741388754
7,-0.022553731198408773,-0.0807935880152503,-0.06095806657275709,0.04949739466175494,0.020345428162036466,-0.07404286265075156,-0.03249472307192569,-0.0850927829706653,-0.06468139934535076,-0.04958694397185113,-0.04865633660365566,-0.03765486794656744
8,-0.02557409087938012,-0.08447945562830514,-0.06088262698710444,0.055520609986386096,0.01947816587233073,-0.0759847856218551,-0.031851032392203674,-0.08710468111450717,-0.06738276923503812,-0.0567924415951248,-0.05089103337524352,-0.0384864954469741
9,-0.02623931988769489,-0.08336781405406088,-0.05867694715310364,0.0560175026398477,0.01588274749509532,-0.07162170959542238,-0.033733310193176866,-0.08912939581481835,-0.0696172078128337,-0.060110810421979945,-0.05140979914555094,-0.04036901763817078
10,-0.02749323404420102,-0.079149526343152,-0.05740522355356699,0.05200534702517409,0.014213932252676614,-0.07000971252988121,-0.03497916473748277,-0.08987592530462196,-0.0713429213217843,-0.060907359331517245,-0.048919814425708155,-0.04357518777431298
11,-0.024048327942866498,-0.07995573084118154,-0.05763895461971271,0.05256744971740222,0.015719182489892482,-0.07016049244778254,-0.03471894987338561,-0.0888307161732391,-0.07107349919946385,-0.060963127033830077,-0.04966324711894797,-0.045325751958518436
12,-0.023510516349579038,-0.07959810374485118,-0.05781913911666983,0.052119730372593334,0.016078180535014776,-0.06962730053431435,-0.03421320988617621,-0.08685502203354498,-0.07327770458206964,-0.06084393386383422,-0.0507628752397616,-0.0448815902542453
13,-0.02671661893601252,-0.08144698723179988,-0.05363282531180868,0.05606177076197265,0.011947540300066874,-0.0684585853753582,-0.033083142689632916,-0.08742441854852237,-0.07157695032634093,-0.05966219897610762,-0.04971440437606314,-0.04581883333366744
14,-0.02452080098523644,-0.08348169239084433,-0.05707732646521114,0.053555698930723386,0.016274093041829262,-0.06969184180374198,-0.03241136068197725,-0.08672737384820192,-0.06807836966412682,-0.057039145877746146,-0.05041733352344285,-0.04452638112841178
15,-0.03089895032373242,-0.08278470512589406,-0.05794353025064583,0.05127642655041072,0.01756160493549843,-0.07351033059823696,-0.03205873420599199,-0.08496211432494183,-0.06738732353095175,-0.054404445587680504,-0.05370563354994061,-0.04460061166935234
16,-0.020975287462860624,-0.08322672371392908,-0.0639829879724662,0.052666425913773074,0.013958644694425495,-0.07452353494675149,-0.031154740060728898,-0.07874842282200381,-0.0681288389045678,-0.05339777365620719,-0.05383669687238085,-0.044259273246303764
17,-0.024367539480329745,-0.08335899548516024,-0.06255408014617982,0.05351315159814743,0.016984027895171918,-0.07387521691922395,-0.028206823868739538,-0.07351525071382084,-0.06388550957274435,-0.05297023031032296,-0.04960127040155683,-0.042261889647349914
18,-0.02802049871715281,-0.08226196100424879,-0.06467325699275564,0.05368310772187282,0.01878555143533827,-0.07553048882638731,-0.025141677763802474,-0.07666559539246445,-0.06383632607347754,-0.053606559937762914,-0.04575075262181287,-0.038951621718925876
19,-0.023680777417489206,-0.08126451728309766,-0.06513529128971701,0.05594806752702705,0.019651126087583258,-0.07463957588999696,-0.02590519063500103,-0.08187359128945709,-0.0649526637008175,-0.05409042184845599,-0.04400199737320107,-0.037264076091621905
20,-0.027874619432429738,-0.08033763989074535,-0.06294177225459964,0.056799424612423974,0.019385926918048555,-0.07592216995100466,-0.029978371397853948,-0.08370170554149203,-0.06646266530020271,-0.052180485975988684,-0.043958247768755565,-0.04068881527020616
21,-0.028513230369979038,-0.08037381105136127,-0.06200882391736951,0.053151899762047025,0.015797251807361613,-0.07631834234521402,-0.0331134692740835,-0.07978144249029145,-0.06921967544239699,-0.05508578156975039,-0.04610912217763151,-0.04276907180401283
22,-0.026849963608326383,-0.08560591260534964,-0.05959857311717251,0.05169095345293637,0.018924346654109223,-0.07368767247878882,-0.03156960120270594,-0.08029323897310345,-0.06441962391281067,-0.05381836019120629,-0.04872704032452439,-0.045067856149824066
23,-0.02516130255432761,-0.08266299975428995,-0.05423606641631167,0.055166809103599695,0.016605782866829993,-0.06965215301686067,-0.027207705955212838,-0.07864032111341956,-0.062002596486837036,-0.0514092005011532,-0.0495032417080211,-0.04177259073767054
24,-0.02777482287489785,-0.08052437173083196,-0.053000663149740085,0.05272070935890637,0.015226608923651965,-0.06768119654383983,-0.0203713861831162,-0.07389928803896509,-0.06007614429230726,-0.05195523156353662,-0.04760174918108774,-0.03876236824908375
25,-0.02325750770931415,-0.07881225578184944,-0.05592942520829578,0.048720762913908686,0.01593826519377885,-0.06896795689144508,-0.01482388099094461,-0.06557451753036062,-0.052373160439936575,-0.0480715341980388,-0.04612080998286959,-0.036273714797918806
26,-0.021362931912951074,-0.07923752057399919,-0.052438521575272685,0.0488784973788752,0.01582725328111646,-0.0703405095817764,-0.008307113387919174,-0.047355088589615874,-0.04724878910526807,-0.041572525508266976,-0.04334480541604607,-0.03579074419067168
