idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
32,-0.07808,-0.11712,-0.039040000000000005,0.09759999999999999,-0.019519999999999996,-0.07808000000000001,0.00976,-0.08784,-0.05856,-0.08784,-0.07808,-0.09759999999999999
33,-0.07808,-0.11712,-0.039040000000000005,0.09759999999999999,-0.019519999999999996,-0.07808000000000001,0.00976,-0.08784,-0.05856,-0.08784,-0.07808,-0.09759999999999999
34,-0.07808,-0.11712,-0.039040000000000005,0.09759999999999999,-0.019519999999999996,-0.07808000000000001,0.00976,-0.08784,-0.05856,-0.08784,-0.07808,-0.09759999999999999
35,-0.07808,-0.11712,-0.039040000000000005,0.09759999999999999,-0.019519999999999996,-0.07808000000000001,0.00976,-0.08784,-0.05856,-0.08784,-0.07808,-0.09759999999999999
36,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.08784,-0.06831999999999999,-0.08784,-0.08784,-0.10736
37,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.08784,-0.06831999999999999,-0.08784,-0.08784,-0.10736
38,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.08784,-0.06831999999999999,-0.08784,-0.08784,-0.10736
39,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.08784,-0.06831999999999999,-0.08784,-0.08784,-0.10736
40,-0.09272,-0.11712,-0.024400000000000005,0.10492,-0.034159999999999996,-0.07076,0.00976,-0.08784,-0.05856,-0.07808,-0.08784,-0.09759999999999999
41,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.00976,-0.08784,-0.05856,-0.07808,-0.08784,-0.09759999999999999
42,-0.10248,-0.11712,-0.01464,0.10980000000000001,-0.04392,-0.06588,0.00976,-0.08784,-0.05856,-0.07808,-0.08784,-0.09759999999999999
43,-0.10736,-0.11712,-0.009760000000000005,0.11224,-0.048799999999999996,-0.06344,0.00976,-0.08784,-0.05856,-0.07808,-0.08784,-0.09759999999999999
44,-0.10736,-0.12688,-0.019519999999999996,0.11712,-0.04392,-0.07319999999999999,0.00976,-0.08784,-0.06831999999999999,-0.08784,-0.09759999999999999,-0.09759999999999999
45,-0.10736,-0.12688,-0.019519999999999996,0.11712,-0.04392,-0.07319999999999999,0.00976,-0.08784,-0.06831999999999999,-0.08784,-0.09759999999999999,-0.09759999999999999
