idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-0.01521526282255789,-0.022169964669693364,-0.00048371864296782325,0.02549904932065897,-0.012910033091340697,-0.013201809180819098,-0.06379933290874051,0.011242603586397032,0.0002816705477099307,0.011769953391762724,0.0018120011483198084,0.0233721587409298
1,-0.015466781214118711,-0.017943553986085065,-0.0016291992131624517,0.017918386824142266,-0.011045482624555274,-0.01307557775855825,-0.06840415212870848,0.015644209152985714,0.0022695189990101436,0.016535338078980336,0.016099681939540117,0.024781443675649488
2,-0.018288724214153288,-0.018952690950039305,0.00033109641356193157,0.017321488913745693,-0.012694478007346816,-0.011125496743280238,-0.06735016176148279,0.021054939641931225,0.005466782651411359,0.016965960592113923,0.02061826387467435,0.020365220771697355
3,-0.027134511420679713,-0.023682720193647176,0.0018103384594959577,0.025927896459811025,-0.01879303598437451,-0.003494655087225747,-0.0680190330855322,0.020399892715361877,0.003773791752474505,0.01644355854126902,0.02524869807495664,0.017336984113580402
4,-0.032681181815377824,-0.03455051869068441,0.002572991774218587,0.031246841578894638,-0.02179409645733808,-0.005920145077745446,-0.07093710708537634,0.014959820511966253,-8.546671810852335e-05,0.016599538522349876,0.02745052761303013,0.02096129913219153
5,-0.02774179156598545,-0.03886454242601421,0.002360484139511834,0.029690175565932012,-0.018631200600019462,-0.004747776661880043,-0.07329957803328208,0.012805537622943952,-0.00234654306055207,0.016145354951654686,0.024745424402363728,0.021073583911250533
6,-0.023694231576478493,-0.02823068672817247,-0.0010735185905965654,0.025646653584676923,-0.012959738167666305,-0.005769814937339899,-0.07527510165081619,0.016050255916591066,-0.0030068375490613364,0.015248273325287096,0.019089585669828303,0.016983793415579904
7,-0.022036054582713314,-0.02565832082882408,-0.004132299444392751,0.022389077734264795,-0.016048794715549274,-0.011944031071828166,-0.06911100718980971,0.01994328916598942,-0.001402714066553984,0.011758340285849682,0.014913346782571783,0.015062588823016757
8,-0.022303333696542433,-0.03234322669686544,-0.007189260409080736,0.029440991342221952,-0.012328405206005618,-0.015626234100520626,-0.0682863573698154,0.02036460979497435,0.0011176591807103217,0.014158805178384054,0.01307527621445713,0.012443022145545136
9,-0.0291553102429468,-0.037655159868403204,-0.005240630056140445,0.0356469130286152,-0.01041372106825869,-0.01882988833358878,-0.06518197959063263,0.01690320626919778,0.002165218189044346,0.020036733849310262,0.010661715518801719,0.01729449374298654
10,-0.022477037892084096,-0.03757799448758567,-0.000286324100833092,0.03076420799676669,-0.009105506379184922,-0.014498925411223603,-0.0629479743566072,0.013065732649432477,0.00312548405737257,0.023334858551841843,0.00727568746536221,0.02274216750330705
11,-0.034855821478713384,-0.036668566795070315,-0.0029670994996274106,0.035124204720943124,-0.017933458104643932,-0.01115184380244616,-0.0616600319432156,0.012984916251438668,0.00642881498192957,0.02148893916153452,0.00721162396207993,0.02585028618926079
12,-0.03885302814267104,-0.030100103240988135,0.008823705136656337,0.034416839631598195,-0.026091801388829758,-0.003403085108989822,-0.055053113713073185,0.015678388326516197,0.008242990134067221,0.017855152091015146,0.013738197111920099,0.026888656217726903
13,-0.035856305257021714,-0.02459045939824661,0.011529116987995056,0.03690541518694355,-0.02209578515136005,-0.0015558018700719887,-0.052890673955700476,0.017286268557485655,0.007998945235012815,0.015423463479598621,0.02283733586486593,0.023367172359137954
14,-0.02652719888131935,-0.03633380257803066,-0.00026463206611141137,0.02968282326623516,-0.015119776056378188,-0.012765150650802784,-0.055320451522419406,0.010360658896271052,0.0037704718948302768,0.01205746312603585,0.02541585616430473,0.02479916341824726
15,-0.023547346962577997,-0.038982612682235546,-0.010846880783855537,0.03226960231557448,-0.009390321469690469,-0.02108326681152839,-0.05532274617355481,0.009204652210760632,0.004596648277030602,0.012925368294445006,0.02795411995045404,0.029585390621054385
16,-0.024160734098228172,-0.0343552448948055,-0.013540766531732732,0.031146610175168673,-0.009983673337759635,-0.01693353971101196,-0.0500939397798771,0.00814785551519595,0.010821712693039554,0.01769568844231785,0.034833890325678185,0.03419029361471759
17,-0.03131316640478592,-0.029323926552109622,-0.009421324651572808,0.029008659600859202,-0.01943734570938914,-0.008899932475852709,-0.04571714302536484,0.005476705023817842,0.011609559396296758,0.018622169534025203,0.0406351694429839,0.03424988165987246
18,-0.03411247582873369,-0.029193450951796228,-0.006828569970075637,0.031509128782764295,-0.023899433885383944,-0.008407772847684299,-0.048672924948175586,0.0032965027455713267,0.008337000550457739,0.020257445114470973,0.03698513537891246,0.03185516635691358
19,-0.034889285618799414,-0.02664795880230465,-0.002867904602771106,0.0373560766893198,-0.024842510156889014,-0.006897926709976137,-0.05522494980969176,0.00434355667558585,0.00039114922996388857,0.020627608356288005,0.03453317685567348,0.03235700194183558
20,-0.02797498373593302,-0.026747077673787423,-0.004520217337625422,0.03735653324875152,-0.02212193200977816,-0.006340302510845634,-0.05606310013028574,0.003503200547069228,-0.00025645217063889614,0.02309130567636041,0.03496817966441117,0.03595522684306558
