idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,0.06432093806047898,0.021315191889483515,-0.03514738086460516,-0.04147652681613551,0.047746075986243655,-0.009240077475408262,-0.1043475240834877,-0.0632371459683447,-0.044080921467700054,-0.0389743888515596,0.00573065438919516,0.1022579389786254
1,0.05858145843769651,0.027830813644032667,-0.028140818726124558,-0.043245957185945844,0.0455616218996107,-0.0024789855288933774,-0.096098315819933,-0.051706742391559576,-0.03728564572177206,-0.03532995461702081,0.011948510542897504,0.10785294593923206
2,0.06168319857602402,0.04338178468788836,-0.013200376174436628,-0.051457934315740333,0.03932357934143728,0.01152111544579852,-0.08660829952380017,-0.03918976306420559,-0.025079400624461366,-0.0315678855227191,0.01747470474471745,0.11408974704225872
3,0.05970857309230536,0.056936874306920605,0.003545856134251661,-0.05272618575713832,0.03206401123881192,0.025317216711385412,-0.0772546200062105,-0.028546451274050675,-0.013372532444269723,-0.026188306986098045,0.02279060282227255,0.11632807424912467
4,0.044466584103847205,0.06029908477842397,0.020150244163101752,-0.04641574196460246,0.018181546013497016,0.03478010717767043,-0.06697306795838542,-0.018142716124989442,-0.0033855534603984966,-0.018998520236267774,0.027724120075639333,0.11471989257547746
5,0.027794844912361033,0.057992303273827664,0.03727923273143781,-0.03930810284306662,-0.0034210991719774327,0.04169968855642415,-0.056627849652716056,-0.010932435847671354,0.0038734629575368816,-0.011510649041315837,0.029518251518217506,0.11134925936512341
6,0.015110178798570961,0.055866617631081535,0.0465635779206024,-0.03705275334729414,-0.015384292175992551,0.04519188309585578,-0.05179307906232375,-0.012469628251114386,0.004229363238129975,-0.00865226113623909,0.02995080189089301,0.10593595386861995
7,0.01771053573277092,0.05261991223125442,0.04057959725477625,-0.032393687507934844,-0.009268147273498844,0.04274557441079119,-0.05105781462107703,-0.019567986411291236,-0.0020035573303928333,-0.014653927518407939,0.025999541518389957,0.09960666702747215
8,0.016702486566384647,0.04359999582064844,0.031175296636849877,-0.027487923233221825,-0.0011133146602039846,0.03288705321062092,-0.049566644062055146,-0.024315189529144368,-0.009977459063536167,-0.022477154183927456,0.021551434062959084,0.09511569406517523
9,0.013057398652720915,0.032237788873944365,0.02590972142229897,-0.021019960368390905,-0.0038308619784044257,0.025314538765251925,-0.047304830539973836,-0.025234344915812855,-0.014835994407342568,-0.025642083383581663,0.019739314844768503,0.09127294358283002
